Wins,Public Favor,Survived,Allegiance Network_Strong
11,0.8418416444128592,False,1
7,0.6510439186709568,True,0
6,0.5938160475455326,True,1
6,0.5408147520434307,False,1
12,0.7616513151975801,False,1
12,0.901986189468888,True,1
6,0.49019425195048,False,0
13,0.602567903424646,False,0
7,0.6976800233107568,False,0
12,0.9197327180712852,True,1
7,0.601246110795472,True,1
8,0.8358193426452392,True,1
15,0.8213024603601864,True,1
4,0.6411572273303568,True,0
6,0.7297359496715441,False,1
9,0.6981526304525167,False,0
8,0.7506201681898742,True,1
11,0.7257125836722538,False,1
12,0.9638895876697658,True,1
13,0.7710403516984403,True,1
6,0.7953703299501608,True,1
10,0.9381868555404222,True,1
5,0.6522343693828105,False,0
5,0.4900638450882904,False,0
2,0.4980728993596177,False,0
5,0.6488877077341572,True,0
13,0.8231126817770134,False,1
9,0.780641547067385,True,1
10,0.8937881172141113,True,1
9,0.7888588029114716,True,1
8,0.6355653551169419,False,0
8,0.7660383404138406,False,1
8,0.6761254474177035,False,1
3,0.4734211434038802,False,0
23,0.8186441628135771,True,1
8,0.7099279413505186,True,1
9,0.8088181964983737,True,1
10,0.7714356526980573,True,1
17,0.9408152950575376,False,1
12,0.9511957697857292,True,1
10,0.716512616427803,True,1
7,0.8064214244637445,True,1
2,0.4692716679487838,False,0
8,0.478940009428156,True,1
7,0.5162042136543605,False,0
13,0.817511185877136,False,1
7,0.6514312511367314,True,0
7,0.5943240641178377,False,0
9,0.6258844257060684,False,0
6,0.7642044951372012,True,1
10,0.6994097354132827,True,0
10,0.8316503648717691,False,1
4,0.6886852719345589,True,1
4,0.5293842576447627,True,1
10,0.7595452784448485,True,1
7,0.655188692526229,False,0
3,0.5230794236549513,True,1
9,0.7340664688234574,False,1
17,0.8932555490091587,True,1
8,0.8292560751010497,True,1
9,0.6511207246732129,False,0
12,0.7499075983073709,True,1
12,0.8723375993800435,True,1
2,0.4238415481760005,False,0
7,0.7358005567639447,False,1
1,0.4237310598425269,False,1
7,0.7343969377509646,True,1
7,0.6433083451027832,True,1
9,0.6963184479983473,False,0
4,0.4912672232791419,False,0
