Wins,Public Favor,Allegiance Network_Strong,Survived
7,0.6954105519722175,0,0
5,0.5959234730319835,1,1
5,0.5829745384637445,1,1
8,0.7533418944620126,1,1
8,0.7855941882851607,1,0
7,0.6089144938362797,1,0
12,0.810421189993553,1,1
11,0.7979375486640804,1,0
10,0.6721020363339256,0,1
6,0.572325033716185,0,0
11,0.8230439410593375,1,0
9,0.4789610383615098,1,0
3,0.5706528130668138,0,0
10,0.8122151511581627,1,1
8,0.6563660356383557,0,0
5,0.5439633984021455,0,0
4,0.5279060819496115,1,0
5,0.6922302153290933,0,0
4,0.5430561976792259,0,0
6,0.7949920210019491,1,1
12,0.7259165353276744,1,1
7,0.8693737058698319,1,1
11,0.8117339295214947,1,1
3,0.5453852775860106,1,0
11,0.6798578991438212,0,0
4,0.7014465311563157,1,0
10,0.6617708458792637,1,0
2,0.4447698200168976,0,0
10,0.7577886294667795,1,1
5,0.5539538173365763,1,1
4,0.5169428711026799,1,1
9,0.7610611701934061,1,0
6,0.5801369315160829,0,0
12,0.9148647153413132,1,1
7,0.5998708683297598,1,1
9,0.6705707651533888,0,1
6,0.5159775409686211,1,1
10,0.8193642411418117,1,1
7,0.6209872759934468,0,0
8,0.5964244872147715,0,0
2,0.479720625586837,0,0
8,0.6908828490000886,1,0
12,0.7079788583102664,1,0
6,0.6904753972388937,0,1
4,0.6227248730398727,0,0
7,0.7702682871260716,1,0
12,1.0084270201828824,1,1
10,0.8208549262481607,1,1
6,0.6803151584006306,0,1
10,0.656960580259455,0,0
9,0.7444612615464944,1,0
14,0.9810354587796688,1,0
3,0.5328309746743157,0,0
11,0.6868122352159292,0,0
4,0.580688114856336,1,1
11,1.0474458339325432,1,0
6,0.5179673594287473,0,0
11,0.943913289396106,1,1
5,0.5955547363322116,1,0
6,0.6414139610259351,1,0
7,0.9265373722768137,1,1
3,0.5075422713923468,1,0
9,0.7455891862996522,1,1
7,0.6669002932312443,0,0
9,0.6144346848897889,1,0
7,0.6870301079714939,1,1
7,0.7793840938505286,1,0
5,0.6176504584617752,0,0
3,0.4672720442899379,0,0
13,0.7422708679953883,1,1
7,0.6485336327809098,0,0
10,0.7513864714628821,1,0
7,0.7285213245764547,1,1
4,0.5166913964488203,1,0
2,0.4247428445123891,0,0
6,0.7575888042659572,1,0
5,0.6987129758616042,0,1
6,0.5536503423173321,0,0
7,0.5795729759793014,1,0
16,0.9401057964999832,1,1
7,0.5689161898327054,0,1
5,0.6202902980147185,0,0
10,0.5892299195506455,0,0
8,0.8373291475394943,1,1
8,0.5700247939234068,0,0
7,0.6835299679250827,0,0
4,0.482057636607575,0,0
6,0.6527342066105958,0,0
7,0.6235832361839915,0,0
5,0.6802198529959832,0,0
6,0.7068524964809844,1,1
10,0.8215077888629425,1,1
11,0.7739747249170451,1,0
15,0.9483989836377372,1,1
7,0.4865447522047472,0,0
3,0.5421919363568745,1,1
13,0.875023767445416,1,1
8,0.653651459281435,0,1
4,0.5943293046384631,0,0
5,0.5969067345876875,0,1
10,0.9093451654686272,1,0
3,0.4986187309091558,0,0
14,0.7383731436355889,1,0
6,0.5729565636655993,0,1
8,0.787792311171071,1,0
2,0.4246507792578141,1,0
5,0.5338510171101923,0,0
2,0.5177841327465501,1,0
6,0.6045369132317361,1,1
8,0.822211823733473,1,0
10,0.8428736900182641,1,1
5,0.6310842960951673,0,0
10,0.5895744845529994,0,0
9,0.9055709139964684,1,1
5,0.6334424248257626,1,0
5,0.6616642177039785,0,0
7,0.6302773563827643,0,1
2,0.4853715999486663,0,0
7,0.5281216373427149,1,1
9,0.6599564957665283,0,0
5,0.5364571696392958,1,0
5,0.6398059292321401,1,0
13,0.773203029903464,1,0
9,0.8004080986992749,1,1
6,0.7539416777810356,1,1
7,0.7855519103052314,1,0
9,0.7722424013914362,1,1
6,0.6699581365637947,1,0
3,0.4805991396749383,1,0
13,0.8086404581421678,1,1
6,0.5618570936690099,0,0
9,0.8744978211673279,1,1
17,0.9516830849459608,1,1
11,0.8146450582521575,1,1
5,0.6054829566055975,0,0
13,0.8925274525935843,1,1
10,0.7743864871310574,1,1
13,0.931814490613904,1,1
7,0.7941390981196623,1,0
11,0.7168659788455205,1,1
4,0.4770177000841249,0,0
1,0.4304857564606463,1,0
5,0.651390497870056,1,1
14,0.907501809987486,1,0
9,0.7114493576120979,1,0
5,0.512379018490763,0,0
7,0.6748940370588199,0,0
5,0.6290000745388709,1,1
8,0.7209122938525016,1,1
5,0.7545115702897824,1,1
5,0.6735370185844264,0,0
4,0.6763016352919518,0,0
2,0.4517371634452391,0,0
3,0.4692703332931461,0,0
8,0.7795420189277013,1,1
4,0.4356633349562261,1,0
8,0.7353340974191993,1,1
6,0.4712041498895915,0,0
9,0.8654381298809745,1,1
5,0.5967924865575727,1,0
16,0.9369882006130632,1,0
4,0.571426381559452,0,0
13,0.8927570313187212,1,1
15,0.8306997196300002,1,1
9,0.6100626635593003,1,1
1,0.3888856247584813,0,0
9,0.8814486167820618,1,1
4,0.5069442568696088,1,0
5,0.6557174789782698,0,1
10,0.6054475677504619,1,0
7,0.634743703203109,0,1
10,0.8722523060625286,1,0
6,0.6266938017107795,0,0
7,0.5713065174890223,0,1
6,0.6208580319302884,0,0
13,0.8726185687365732,1,1
10,0.7693942937491934,1,0
16,0.8972131853925027,1,1
10,0.778022583517105,1,1
5,0.5626180511637594,0,0
3,0.6241947830084653,1,1
3,0.4844258316583548,0,0
8,0.6761530777913911,0,1
4,0.5531712166201246,0,0
5,0.6040562322172385,1,1
7,0.5128814547577003,0,0
20,0.956501250737988,1,1
12,0.8369996317356267,1,1
1,0.4521067621422987,0,0
4,0.5274028514931074,0,0
8,0.7262781972907136,1,1
9,0.7786138920165493,1,1
14,0.87653150086331,1,1
7,0.7686435141011533,1,1
4,0.605713383125175,1,0
7,0.64706777707422,1,1
6,0.6978554364310313,0,1
10,0.8991310064701322,1,1
8,0.7594434695085874,1,1
8,0.7082084207540565,1,1
6,0.5670293099894653,0,0
11,0.6108832853250403,0,0
2,0.5037771444218423,1,0
5,0.4680375718480259,0,0
12,1.0081935235763582,1,1
5,0.4295600122602233,0,0
9,0.5569558993621746,0,1
7,0.7289558688737428,1,0
10,0.7249191940173338,1,0
4,0.6836467509570037,1,1
5,0.6226825292396913,1,1
8,0.7539783230841888,1,1
12,0.9476736631958138,1,1
6,0.752455340767802,1,0
4,0.5686791967689866,0,0
10,0.7525756503636606,1,1
9,0.7308177233650149,1,1
8,0.7256697974399278,1,1
7,0.744842524508721,1,1
7,0.7359588400037402,1,1
0,0.3293385943847846,0,0
8,0.8076996872954686,1,1
7,0.7875267506656455,1,0
4,0.5800209689358601,0,0
9,0.8098772433693853,1,1
4,0.586366069859843,0,0
5,0.5782108948695679,0,0
5,0.7415155766709898,1,1
6,0.6361021860101547,1,1
13,0.8731882931770724,1,1
6,0.8207484975318141,1,0
4,0.642830910969869,0,0
9,0.7410453821236115,1,1
5,0.6140364081959032,0,0
6,0.5373736274632861,0,1
7,0.7943001659713993,1,1
5,0.5668322118981247,1,1
4,0.6675668929878569,0,1
8,0.7765626080974354,1,1
8,0.6609776399672725,0,0
9,0.5546379220704035,0,1
8,0.5166031448272972,0,0
6,0.654921868959669,1,1
8,0.6555678580063683,1,1
11,1.0335364293198153,1,1
9,0.7713920347052687,1,1
10,1.073671124552475,1,1
8,0.7200823953865844,1,1
7,0.7503341834942779,1,1
10,0.9819583678070078,1,1
9,0.6398144169508208,0,1
10,0.6853137593753357,0,0
8,0.7718202182562388,1,0
8,0.6126738371045425,1,1
7,0.6996984579349693,1,1
8,0.7166277102839312,1,0
9,0.6096622637727427,1,1
18,0.8413678924512898,1,1
7,0.4561679136446724,0,0
9,0.8481238024142399,1,0
5,0.6532898338379938,0,0
4,0.4083610050693123,0,0
9,0.8100789722143544,1,1
12,0.9376368735488808,1,1
9,0.9117663940856096,1,1
6,0.6456424705935462,0,1
4,0.5237870469030721,1,1
